"id_polifenol"	"polifenol"	"id_cancer"	"cancer"	"quant"	"pmids"
"1"	"8"	"Curcumin"	"484"	"Breast Cancer"	475	"22921746,19288022,29048653,27268651,28806703,23777448,26985864,20215512,22828666,28599484,24318305,27614381,28397855,19645775,27263652,22508043,20591475,18039573,24211270,23076367,26980197,17174384,20138829,24486718,12483537,28959140,25542235,24528023,28239299,19724924,10430096,23387971,29356693,19524420,27830358,25118487,25039189,19573523,29094265,22710975,27604683,21876713,15711178,18628248,28038323,19996301,21947854,21924245,14642080,19816657,24377627,12771144,25242081,21772753,19558577,17373813,29297700,26004342,16550606,27550987,29600521,23317243,17069615,25550533,20438793,26796279,19138983,23299550,23846485,16243823,19250217,29138806,14724571,15367704,21239154,16702307,18593918,26899573,28491145,12104041,22290509,27677346,28678551,22772921,26752181,27245953,10445426,28152473,26212257,23946688,26633344,9168916,21232161,27496212,25960232,24312824,29289889,9831541,20734924,11857414,26718769,19118501,22895066,20385124,20661707,20735222,22711297,20030852,17499312,22705896,18946510,17077187,22179587,24236784,27012210,18782044,21986579,28810532,24365254,25226537,26349982,29770869,21629182,24433502,12684430,23023821,22971638,25879038,17922140,12718610,28319780,22186408,26472972,28350049,29189128,23040919,20728364,20036734,28439094,25826489,28053624,17240359,21598989,21484797,25260874,23950593,23448448,16928820,18365880,28842128,26920032,26648459,29641445,11852106,23886126,16354769,24831732,25253691,24625971,28476962,23145775,24465597,29142607,25530715,28804605,26350251,15738001,29541412,25089037,27619078,19771847,28886247,24613085,18682687,27082017,20058253,26937266,23771315,15878268,24377502,26124332,23356739,27221847,25728027,26729534,19093868,22890189,23242714,23429291,20680677,28721737,22994744,17569206,29533214,23042094,29642292,21616659,26413251,19944674,17137104,16960658,20798532,23730211,10969724,25647442,16101141,20655375,27553725,17555831,25031701,25243063,22013068,28300724,25938910,26203688,29732970,29501629,25596714,29047044,27451784,23843843,29040973,24440669,12063069,25284464,26308760,17310108,14511655,20805034,29801408,24593988,22991922,22273695,26369539,22768036,23287774,26325285,27573203,27465411,29187453,15008515,27813185,19319191,17671737,29065834,23730903,29426248,24484937,24622734,27305819,29655698,21702507,24865590,8538195,25819738,27293144,27124646,25229832,29144788,17999991,23251236,29147611,28388785,21510869,28423731,24706375,25991545,28190385,24219305,10814878,27325106,11506803,22204522,21850703,29755534,27152196,23222814,27597657,29966245,27792193,22222040,27040234,29808718,28872903,26947919,27610163,20818158,25416449,26338965,19854644,21295962,25866478,26117780,29239219,25315241,18025290,26516945,21088500,29336533,27306423,23959397,26305906,22634500,28431975,27913127,18098290,26066393,25542609,23661584,17651499,28956452,23162792,23452621,22135900,29512668,28036082,24531225,29571289,21839055,24476216,24363979,9714342,24738331,29448633,26942057,15256456,23489691,23351311,21993423,24371229,19809577,26247019,28819666,21388972,29625162,28972748,28262114,27499229,29296172,28882040,18467956,21870456,24851881,29052674,12097302,20627257,27987753,24864107,24034496,28377996,28724427,22033190,28222671,9667742,28236692,26332341,23942114,28866151,27539316,21713389,15648195,29881406,29719770,26597940,21799049,23505424,26113217,29959633,27779649,27763524,23679865,27350366,22795543,29848101,23395943,27270752,29556774,17613656,28331366,27107900,27103993,23472124,22619526,25793208,25014638,29407161,27621628,27524019,28420987,18462866,27579532,29516756,28738425,27157759,29048630,16722634,29693159,28780353,28417445,29966081,28263565,11467202,20729081,27168683,27405665,13678246,28573926,28408820,28629042,21479462,20460537,21750867,25786779,24566270,28930649,27049468,28457434,29768014,21167595,24156030,27301171,29441997,25863259,14612489,27648633,22194218,25553436,26853158,25987060,29291882,25623080,29790797,27609747,24723227,28930270,12213462,10368648,27244480,24900828,29139094,24375813,22703560,19516890,26561365,29463371,29310081,22193941,23140290,27546165,19249204,28254284,25963307,25900098,23872022,27262332,29606874,25981672,26734584,29355595,27081576,29154195,20697527,26875787,29378273,19908170,26572330,29688063,27481341,29042771,29653171,26924283,29486375,27843313,26631310,26878325"
"2"	"96"	"Polyphenols"	"484"	"Breast Cancer"	323	"22921746,25634350,22170094,28599484,29751678,23302496,22508043,26935808,29039582,18059161,22895548,18421301,24712725,27031849,27862996,17475222,14608118,28911558,27658723,28124838,28207992,23061908,29215574,28356020,28834706,29068745,24478544,23093841,23790880,29532526,24607787,22940714,23456297,23159608,21822728,17415784,25242081,27285995,22353783,12462380,16550606,28766690,21698198,20013881,25453494,23441615,27535497,23805102,19138983,22644859,28868867,29389559,21170718,26349913,28329437,24646833,26284516,23600473,24329111,25299698,24078922,25945840,8350491,12931129,20681660,29086902,27347927,20955751,29913427,19082476,20734924,14979919,24099118,28718669,20030852,18946510,19139005,19131542,18930055,27078842,27498973,20596647,26893740,23145928,26733173,20584749,22871396,29189128,25196850,17848600,19890716,28321778,25647396,25260874,24996346,29624275,10509743,16354769,26762586,29903207,21411498,24491902,9719459,22957077,22350787,22743590,27951515,27268647,26180585,19294520,21455577,20058253,26937266,20155623,17570133,29337349,22415970,11518657,29204075,12421874,23104437,27657126,23042094,16190622,17933449,19530711,18348194,29698680,17555831,15341993,21878663,25243063,20803121,26397047,22083314,15735708,29563789,12002340,15117547,29040973,19094209,24119558,28337113,27178635,27023497,27253407,27491891,15802018,17310108,24593988,27049956,23023566,20669365,20614088,29713632,22768036,26310506,26165362,18813848,18404597,27151203,22219179,24481780,28545532,18607509,15134383,27498957,24484937,15757513,29197410,16449979,8538195,16707458,24508987,11522280,16790523,25229832,23251236,24935390,19399671,23767410,28388785,15756018,16180720,29620223,27231728,20946668,19544670,26401395,27984132,17002470,18089804,28839265,24772933,23475480,11500915,23122108,26473769,24611152,18815743,16404708,29083228,16519995,23222814,25624761,23724044,27610163,19083478,19840838,16091006,25866478,20482276,15363298,29884381,23836544,28784292,16081510,25663548,23493479,14739618,12608775,18850184,26359358,24039951,28937798,26066393,27924981,28877394,25719685,26158795,19936622,27097608,10475615,28926932,26036628,24043896,20045338,11830514,24691968,23167379,21728961,25901160,19723063,22300613,15652269,10861841,25930965,28718725,24069935,28105248,18467956,21225623,17461595,26056816,16061885,24864107,19576744,17490486,28222671,22280355,24583606,26694338,23298290,24745759,25239551,10402233,28124843,19526991,28541359,14528600,18457947,12925309,27524019,16038899,22662208,22919439,27157759,24283885,23943159,24268240,19940992,28719146,28891568,29214243,26694341,15047179,10202393,20460537,26774195,20813524,12067577,25725373,27999314,11928805,25135771,25569691,21535822,10541965,17415955,27478970,29217339,22887783,24001127,16562825,27609747,15084232,9472101,8537983,25436704,18849663,15281219,16680375,19588362,16356836,27262332,29112149,15570052,27906144,24172305,15802301,26265569,15167223,19212014"
"3"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"484"	"Breast Cancer"	256	"18252963,26915319,23288142,18041768,17251686,29152067,23813779,17539658,11313944,27819344,27829223,15064713,23182046,10606728,16445569,22182776,23708383,18224451,22176685,9642218,29048617,24163404,16928824,23335521,15672868,9585253,12839940,18628248,24805814,19954742,9797142,12054499,19833733,10650934,15958587,12489846,15880691,19538337,23232806,25447816,12446589,14500381,23317243,11245489,21586513,20179161,16397234,10919709,24216289,23468877,20471474,19913079,10949153,11314025,22534171,12471041,27589474,16168116,11241756,15631803,12942541,15231676,17160024,24732598,15642734,11149601,24727858,19747539,25338635,22740919,14704150,22472210,20479004,11278435,17620438,10809781,9652748,11911959,19923913,22096483,9467952,11384880,12628005,10930570,9388270,18181040,16467878,12839332,27384485,12970168,12479366,10197638,25226537,15856005,28988530,10376521,18161870,15930183,15922332,20013077,29695559,26135903,12691824,27216977,19298253,27484709,11781819,27181679,22128158,17676480,24390819,25555875,19801662,18534028,15634404,17925034,10872812,22576740,12023956,11278744,14617784,29846015,15703835,17363451,24718680,10714766,25130739,12883736,21771724,12811831,10753939,11910048,16394177,28781955,10097113,16322252,28274095,10871841,17392272,12586780,17767925,15449318,15156564,9671232,21175263,10347201,16419029,10547071,16170669,22964364,11463858,26519986,10674396,28402270,21669197,12663670,14517342,17289850,17189385,24482702,28560447,10228164,12051724,15714461,10436007,16322288,21147512,15744749,21350004,16613992,29574069,19305150,16785991,9360986,11821958,18266953,24405819,11591826,21643005,9545345,11072781,11359772,25724898,15111768,26059188,11787050,23602052,17113978,10383890,21468925,21216934,14985328,11805108,16207704,27038254,29371916,25727011,10640428,12734209,21236341,22329816,24213635,12082091,15899786,27180173,21904903,16740736,16050133,24434427,18235976,12767061,15199145,14692651,29125193,26398369,19609946,15672871,21841813,11245436,22862967,25961241,24368600,15059947,10066806,14697248,11850215,16752079,11034403,12193533,20947540,21394501,15947004,18622691,15375508,26363202,18443432,11415996,16079255,16678794,16415123,20363323,23170258,17505812,17097066,26526356,9525964,12562385,11713241,20520761,24924199,25180937,19578757,18377656,12531699,18060492,15695373"
"4"	"127"	"Genistein"	"484"	"Breast Cancer"	450	"18252963,25613518,17762393,21389782,16889690,18718176,17539658,26483970,18224451,10319943,25009600,12792805,21132400,7819137,15358198,9664138,16758967,18492603,19013426,11506505,22580499,12588701,15672868,25675448,12224597,26771440,8217365,17295235,9563884,29095048,9679118,8567115,8891338,16613577,24573886,16702307,24299158,21965740,18181168,10753641,22227334,17992604,24504162,18508214,21493710,17681752,25826638,10639578,15862028,10340389,9168916,12066207,11748377,25109508,9831541,29954123,10961387,9631496,23973682,18761399,10704911,11767000,17077187,24284485,12879015,9751267,8784471,24331293,21792929,17132221,12853125,14644660,24188694,16094502,9849427,19298253,23342141,9371497,20493747,17640171,10427135,8879680,20651350,9716023,8201603,21340606,12554767,9344853,16309237,8641545,19723084,19932626,10679229,28644496,23686257,16506809,24718680,19427779,15166400,10996850,16969510,24532317,10753939,10953303,19617894,16379557,12963483,12416264,29736565,11096068,29899271,9381980,9848511,27574003,15110097,16434996,20058253,15914273,15617098,26519986,16789754,17478088,10601582,12079141,21419318,25581323,15876409,23379261,7945420,9673352,15030235,17125943,29204990,12421874,10323669,9520374,12710998,16541309,24978400,9168007,9809990,10470366,15744749,17234721,12425726,20399854,18444173,17961621,9066718,16055089,17617943,26199568,29434697,12441353,12967197,15182386,16491457,10463775,15492830,21462322,26783066,17482226,11072781,9703891,23756170,11778268,15323430,11776565,16579725,16061678,11950489,17981312,20549624,19003112,26703673,12897156,22459208,14511655,15105043,24375531,19924815,1279187,14628433,28720470,18955141,15461279,8074476,29101532,18497090,9513045,22219179,26794366,7892295,12776537,15135300,15876411,23337939,21160418,20884965,22415614,8104437,15754008,18632754,7794275,11410520,19928832,9795970,8625449,27033456,17266178,12908908,17976513,20574927,19358274,16596234,16912569,11400165,19126406,17024228,17051425,11506803,16152973,23227466,9770719,8824507,9731492,17690101,11502892,14620916,1883387,15254334,16966488,15126563,12793002,10084649,16870006,12840226,15579072,10491398,26006245,17786319,18025290,9492340,7833143,19800779,12239620,19406242,12549765,16886669,17761019,10376965,16899133,24319544,15829497,15056864,8813150,24894196,24812910,25719685,28396216,9848525,14992594,23452621,26081033,16690804,11110847,15705886,15036763,570914,17015169,9343831,11509969,8875554,18815740,22493348,29955703,24468067,17687646,20127002,11795395,15905199,15090535,15876408,15729618,18192686,20554748,23351311,7903202,21712365,28066099,14720368,10330684,21958026,19733663,15659824,23216111,10867033,17065199,11305594,10923837,22266527,12818423,20455703,21273600,16054198,8878413,11368622,25165122,20028010,28985473,17490757,9137789,12881020,15937998,19073877,12224631,18492816,11739876,21693041,18550029,19996686,9491372,17593413,22864686,12153753,21787627,18669594,16814747,19818612,18570695,10811478,21854827,20821227,18980187,23871935,9443065,19556829,16557470,10523716,11052627,23541764,24260594,24325455,12628503,14691461,25144344,19079905,12670155,15686114,9625730,17640169,26100284,17052999,15456407,18280460,22949852,29963755,11880592,16506217,12530007,16777995,9042303,12946647,21910126,11518614,11431339,21615235,8970179,16399773,22075938,16469160,17369015,11577007,16619504,25385471,8212077,23524099,23645249,25493176,9704568,17948189,29051735,15833874,21097717,27026707,19326083,19590685,25272500,22700791,15068824,15033749,19289110,26853158,25749878,23665760,27609747,20980638,9010330,25844270,24284790,19592245,23661994,16118406,16122394,10956151,10368648,23019147,19035319,15281219,15131010,9607569,10989984,26179608,25661160,16985246,18258689,23189742,25996655,11694655,25190728,15077059,15070945,15570052,17651883,17516862,17644650,16873071,15841278,23095751,12840230,10566643,12189189,18503737,10384821,9167997,25592466,19339397,15880734,15113976,23882126,23678808,16513288,22767648,22583409,22339411,16515472,16515477,20668305,12204553,8886128"
"5"	"122"	"Quercetin"	"484"	"Breast Cancer"	281	"22418930,28280414,29237430,24223637,22310237,25839119,21857970,26483970,9367858,28207992,23061908,27814592,28834706,25446499,18628248,1879042,12224597,29497723,19017364,27285995,27198988,21042744,25298669,11562764,28814095,23570524,23731217,19293639,23900432,24299158,21965740,7923555,29355544,29905475,19755441,29023013,25186442,24506026,29214656,24929186,10704911,22023707,17077187,28498520,10359656,16462139,25630105,18930055,27393430,17108117,28504248,14644660,28752532,25983116,25596948,27833897,20493747,8201603,22426819,26491966,11052628,21598989,23441618,22447039,25612678,28462502,26974372,27175602,29635751,23317267,19617894,23000408,29069736,24407148,19731038,15836850,12724357,27641938,9381980,25968914,22289578,19294520,26434836,27068577,22627971,21090173,8162591,26748999,16789754,10601582,21104029,21419318,15039598,25581323,22838964,12769521,29353288,24978400,10470366,25984842,9066718,17137104,20804812,7887960,20798532,28808404,9920463,15182386,29698680,17482226,24950183,16619521,20803121,22083314,25849845,18074851,27058756,28337113,23153283,15332496,18958418,22842551,26415619,22459208,25364663,29097115,27041643,28336457,18655187,1279187,23023566,9042300,18955141,19921817,18497090,18404597,17172819,27224244,18607509,24174370,29844670,24958675,19466611,22721393,11522280,29874597,23767410,29019431,16180720,26341291,15533929,27392941,16596234,29434473,26941539,23664836,24693327,29855745,16968064,23442980,27041924,17555822,22445681,21429215,27725731,11502892,28322144,28742385,15254334,28539711,25906385,25331269,18655183,26328486,24573487,9343925,3386279,10376965,23434132,27607841,29150398,15829497,6091650,16114498,26344038,25454664,27234523,23919744,20886886,27232543,8875554,29076772,27318931,28799743,18828600,17851427,19323263,3482545,23767863,28188793,15041478,18456490,15090535,27943644,22300613,18192686,25411067,10861841,29475141,29185031,16054198,23339401,19576744,15937998,23556141,24098354,12224631,21693041,12910683,26600684,22481537,16097445,20447470,22119371,24060926,16544949,26214621,21400027,19250196,25278361,28649063,27980567,19007764,16777995,15796157,15112361,15047179,8970179,28178217,20814239,12206822,28881205,24813683,18454305,25569691,7903198,26922854,20600213,21535822,22700791,24607809,29217339,27609747,28930270,28122160,23661994,16118406,24679058,19909799,25098952,25940566,15281219,8509221,23569988,19528492,15925220,28778140,25701491,17651883,25050787,21371568,17693959,26909969,24959911,24657077,23564766,8313386,29752099,18024139,14980703,19826085"
"6"	"5606"	"epigallocatechin gallate"	"484"	"Breast Cancer"	179	"29751678,17539658,18059161,23646788,12377984,14608118,28911558,19420761,20537126,17786300,25833196,20008854,25260713,21370452,26783468,15657356,19017364,20149610,25242081,26810571,17902053,25550533,19105967,15706060,26022559,23731217,21170718,28349962,28465354,23600473,24329111,20527725,8350491,12931129,16982771,23348740,23447335,19171136,14767556,19189648,28646740,12960141,17575143,21792929,28927122,20596647,20446926,26733173,17483343,26861392,12925310,22272136,17940513,10509743,23411276,16354769,26107737,21411498,15965275,9719459,19674193,12429981,15367686,18061364,29742465,20078855,20155623,17570133,21300025,12421874,12163680,8826614,25437065,25243063,19744467,25888278,15816564,19020784,29040973,22459208,28693189,25013807,10462699,16720324,26310506,18813848,24044575,24481780,23163783,12168090,16449979,8538195,16707458,24965403,19399671,15756018,18371987,27231728,20946668,19544670,26341291,15533929,23664836,18089804,28839265,24772933,23475480,11500915,18719023,18815743,16404708,17487361,16519995,24847310,28872903,16495219,21295962,25663548,18025290,15620252,16945390,26225796,24039951,23638734,18098290,18813800,18671164,18978700,29157036,15585581,29955703,20045338,26156544,11830514,7585463,20664987,17909003,24915354,27234272,22280355,29787277,27539316,22307971,26077136,15648195,19962231,15457130,11962250,11673900,12925309,23322423,21545231,26855680,29504313,25372613,24283885,10518005,29214243,16317158,10202393,28713815,20973802,18797454,12067577,11928805,18454305,25569691,9600118,14612489,27478970,15068824,27609747,28930270,14600840,24749396,23657153,27262332,29436217,25592466"
"7"	"2167"	"phenolic acid"	"484"	"Breast Cancer"	206	"22868134,25619640,25933717,23939793,27492128,23958424,24849787,22407803,27288921,22536197,26504768,23476711,25447816,28522265,23403296,27410459,28329437,27760539,20170107,27495835,24078922,29249924,27468232,19082476,22070850,14979919,29197545,28807853,25933595,21328179,27078842,16142439,27942664,19815594,25539472,23712134,12718610,23722601,21213408,29303970,24996346,22382861,23950593,23435602,28179945,17486636,23140017,25554015,23317267,22350787,19731038,27168755,21877948,8164253,29451783,24453828,21455577,25862863,15878268,26748999,29337349,25762472,25886964,22369068,26841168,26578148,19530711,25312150,17147415,24752205,21639092,22083314,19606519,15816564,24024974,24289290,19094209,23153283,27348025,28480370,23746754,25364663,21861726,7887982,27651811,23023566,26542239,18813848,28250894,28292015,22219179,15134383,29179615,21167021,25562804,27365992,24885709,28053834,17992292,28222613,25560707,26941539,24693327,19888728,15787436,23442980,21429215,11867263,20510328,28322144,23684998,22102055,27034599,17949360,29870608,15223063,25331269,24506042,28920447,27412352,29884381,29366428,26469183,27685909,29530022,23265523,28363853,23123452,20238105,22628046,28131913,22596041,26703544,27234523,19838923,28496481,28036082,27262066,18828600,28930257,23767863,25005945,28330247,27904404,24191321,15652269,23146235,21812646,25576897,24273864,28105248,28695656,24969892,26056816,23339401,24711053,19655397,17728860,17972413,28345821,15563205,26600684,25694787,22481537,29864137,29959633,24863277,23818393,28541359,23994083,26009985,26075899,24328703,23790919,12547330,29504313,18645000,19865514,28316409,22016638,19007764,29706573,21592469,20729081,28178217,24591315,22888534,24818141,17511007,25004806,27573001,24802115,19468947,23266738,29638061,15878797,29142435,28122160,25098952,28029227,26437391,27153984,29710781,29304552,8313386,19212014"
"8"	"49"	"Aspirin"	"484"	"Breast Cancer"	98	"18851958,29492489,29350433,16596229,22333315,26899462,26546721,23292806,25033546,20857911,25369051,21617849,14991771,15337432,29169419,17191809,26596838,22209867,10652584,18483385,26184135,28162289,20457246,24575839,19576865,21984018,19212664,28456486,26125438,20828891,18174252,16010362,23317278,29106390,22552812,29504069,26728433,21562729,23420392,26530254,21646387,26794215,18751381,22494617,29848978,11746823,24113271,27356773,16042578,12700412,25867761,29328467,17665043,16952320,12740651,29133038,22399590,21680800,28190074,12075734,29471853,29705335,29386221,25659932,15658875,21956205,27940576,25997576,28415819,24418973,24923427,27683033,9521170,29087320,18260128,15179621,16531064,16491398,14612489,29885857,24927467,22826466,28264838,24932579,29707148,18045204,18194278,28088656,18447943,26673874,29551451,11566043,24267729,16546864,27186121,22896036,4759939,25085874"
"9"	"109"	"Catechin"	"484"	"Breast Cancer"	132	"17554207,17539658,26975752,12377984,18821062,14608118,28911558,19420761,20537126,17786300,28207992,23061908,22536197,26783468,27285995,28766690,26810571,15706060,23570524,26022559,27410459,20170107,28004224,28465354,27347927,17077187,19189648,28807853,20446926,17483343,26861392,25196850,12925310,22272136,26745094,23441618,16536624,21315392,12429981,18061364,21432719,19294520,17570133,15039598,29337349,25861148,23251702,12163680,8826614,9920463,17933449,29278988,21639092,19370870,24289290,28337113,23153283,16964399,23142797,10462699,26284809,27224244,18607509,21167021,12168090,16449979,11522280,19399671,17227049,16180720,24693327,23475480,28108382,23772110,15254334,24573487,15620252,12608775,27357542,23638734,28216880,18671164,18978700,2068000,18828600,28930257,17851427,23767863,15041478,20657380,19723063,7585463,10861841,24069935,28105248,24915354,26056816,23339401,19576744,27234272,22307971,15457130,22481537,11962250,28465816,21882252,14528600,16038899,21545231,29504313,25372613,29706573,10518005,22888534,28713815,11928805,26922854,21535822,24001127,28930270,22045026,28122160,8537983,14600840,15938138,28029227,19588362,15570052,17651883,25338140,17178382,12946404"
"10"	"125"	"Isoflavones"	"484"	"Breast Cancer"	229	"29552162,25613518,21389782,24355881,17962013,12792805,21132400,15358198,9664138,18492603,25287332,19013426,12588701,25675448,12572359,17295235,29095048,24977660,8891338,16613577,24573886,7736326,17046027,22227334,17992604,21493710,25826638,10639578,25663261,23022281,10961387,27473965,22037685,29197545,20169097,24331293,16094502,23342141,25613180,17640171,20669983,23587260,11739882,29368443,28644496,23686257,21284537,10996850,15930306,19617894,12963483,12416264,22087557,9848511,27574003,15914273,16789754,23379261,29204990,27313682,20036234,16773531,15182386,15492830,21462322,26783066,26147490,29523109,16061678,10755463,12115517,14511655,15105043,14628433,19634327,28666461,29101532,18497090,10443335,15135300,15754008,18632754,19928832,17659312,12908908,14618609,20574927,19358274,17024228,8824507,1883387,16966488,12793002,15223063,16870006,21295962,15579072,26006245,17786319,9696881,23568763,9492340,19800779,12549765,17761019,26339345,25395701,17639047,9848525,14992594,15705886,26754253,18815740,27227510,26573593,26703550,11850205,18192686,28066099,22968785,16516478,21958026,23216111,17065199,11305594,10923837,22266527,12818423,20455703,29656660,23274118,19116342,11368622,25165122,20028010,28985473,17490757,9137789,12881020,18492816,19996686,16814747,25593313,19818612,18570695,12199376,20821227,23871935,16557470,24325455,19079905,15686114,17640169,15123269,19250196,26432036,27043076,27456242,11880592,12530007,22464681,9042303,11431339,21615235,16399773,21547849,16469160,11577007,16619504,25961211,20592363,25493176,25553084,29051735,19326083,15068824,12095951,25749878,26086179,18936203,20980638,19003217,19079816,10956151,15938138,15131010,27823732,10989984,26179608,25661160,16080462,16985246,23189742,25996655,11694655,25190728,20460823,15077059,15570052,17516862,23919747,16873071,23095751,20880642,10566643,28777295,18503737,15072585,20235891,10384821,28110438,19339397,11795443,18554862,10625940,15113976,15267241,16513288,23992486,22583409,28112509,22339411,8313386,27584953,27161216,16424064,20668305,9168894,8886128"
