"Var1"	"Freq"
"1"	"Breast Cancer"	917
"2"	"Colorectal Cancer"	612
"3"	"Lung Cancer"	555
"4"	"Colon Cancer"	494
"5"	"Liver Cancer"	491
"6"	"Leukemia"	467
"7"	"Prostate Cancer"	433
"8"	"Acute Monocytic Leukemia"	340
"9"	"Hepatocellular carcinoma"	338
"10"	"Melanoma"	326
"11"	"Ovarian Cancer"	273
"12"	"Cervical Cancer"	266
"13"	"Gastric Cancer"	236
"14"	"Carcinoma"	217
"15"	"Hereditary Breast and Ovarian Cancer Syndrome"	208
"16"	"Skin Neoplasms"	204
"17"	"Non-Small-Cell Lung Carcinoma"	193
"18"	"Squamous Cell Carcinoma"	178
"19"	"Neoplasm Metastasis"	169
"20"	"Pancreatic Cancer"	167
"21"	"Glioblastoma"	161
"22"	"Glioma"	145
"23"	"Adenocarcinoma"	129
"24"	"Lymphoma"	113
"25"	"Osteosarcoma"	113
"26"	"Leukemia Myeloid"	110
"27"	"Fibrosarcoma"	109
"28"	"Leukemia, Promyelocytic, Acute"	109
"29"	"Bladder Cancer"	107
"30"	"Kidney Tumors"	107
"31"	"Neuroblastoma"	105
"32"	"Acute T-Lymphocytic Leukemia"	104
"33"	"Carcinoma, Pancreatic Ductal"	93
"34"	"Kidney (Renal Cell) Cancer"	86
"35"	"Brain Tumor"	82
"36"	"Sarcoma"	82
"37"	"Lewis Lung Carcinoma"	81
"38"	"Multiple Myeloma"	79
"39"	"Small cell lung cancer"	77
"40"	"Mouth Cancer"	75
"41"	"Neoplasm Invasiveness"	75
"42"	"Endometrial Cancer"	74
"43"	"Vulvar Cancer"	74
"44"	"Ductal Carcinoma"	72
"45"	"Acute Myeloid Leukemia"	64
"46"	"Esophageal Cancer"	63
"47"	"Retinoblastoma"	63
"48"	"Carcinoma, Ehrlich Tumor"	61
"49"	"Leukemia, T-Cell"	59
"50"	"Acute Lymphoblastic Leukemia"	58
"51"	"Gastrointestinal Neoplasms"	58
"52"	"Pheochromocytoma"	58
"53"	"Head and Neck Cancer"	56
"54"	"Precancerous Conditions"	56
"55"	"Adenomatous Polyposis Colus"	55
"56"	"Hematologic Neoplasms"	52
"57"	"Thyroid Cancer"	48
"58"	"Intestinal Neoplasms"	41
"59"	"Leukemia, Lymphoid"	35
"60"	"Medulloblastoma"	35
"61"	"Bone Cancer"	34
"62"	"Tongue Neoplasms"	33
"63"	"Brain Stem Neoplasms"	32
"64"	"Chronic Myelogenous Leukemia"	32
"65"	"Pituitary Tumor"	32
"66"	"Astrocytomas"	28
"67"	"Leukemia, Erythroblastic, Acute"	28
"68"	"Adenocarcinoma, Bronchiolo-Alveolar"	27
"69"	"Rhabdomyosarcoma"	27
"70"	"B-Cell Lymphoma"	26
"71"	"Burkitt Lymphoma"	26
"72"	"Hepatoblastoma"	26
"73"	"Cholangiocarcinoma"	25
"74"	"Leukemia L1210"	25
"75"	"Non-Hodgkin Lymphoma"	25
"76"	"Laryngeal Cancer"	24
"77"	"Prostatic Neoplasms, Castration-Resistant"	23
"78"	"Chronic Lymphocytic Leukemia"	22
"79"	"Endocrine Gland Neoplasms"	22
"80"	"Neoplasms, Squamous Cell"	22
"81"	"Peritoneal Neoplasms"	22
"82"	"Malignant Mesothelioma"	20
"83"	"Choriocarcinoma"	19
"84"	"Kaposi Sarcoma"	19
"85"	"Hodgkin Lymphoma"	18
"86"	"Lymphoma, T-Cell"	18
"87"	"Nasopharyngeal Cancer"	18
"88"	"Neurologic Manifestations"	18
"89"	"Tumor Hypoxia"	18
"90"	"Neoplasms, Vascular Tissue"	17
