"Var1"	"Freq"
"1"	"COL11A2"	151
"2"	"MT-CO2"	148
"3"	"CBX8"	131
"4"	"IFI27"	96
"5"	"TGFB1"	88
"6"	"CCT4"	68
"7"	"MT-CO1"	68
"8"	"SELE"	61
"9"	"PCSK1"	55
"10"	"CHEK2"	50
"11"	"INS"	50
"12"	"PIK3CD"	50
"13"	"KLK3"	46
"14"	"F2"	45
"15"	"DCTN6"	44
"16"	"XK"	44
"17"	"BIRC2"	42
"18"	"PGP"	40
"19"	"NUP62"	36
"20"	"MMP1"	33
"21"	"CYP4F3"	31
"22"	"PHB2"	31
"23"	"PRKAA2"	28
"24"	"TRAF2"	28
"25"	"DFFA"	27
"26"	"KRT6A"	27
"27"	"PLAT"	27
"28"	"ISYNA1"	26
"29"	"ITK"	25
"30"	"SSSCA1"	23
"31"	"MAU2"	22
"32"	"PRRT2"	22
"33"	"SP1"	22
"34"	"IFI44"	21
"35"	"PLK1"	21
"36"	"BBS9"	20
"37"	"GCG"	20
"38"	"AURKB"	19
"39"	"CD8A"	19
"40"	"CKLF"	19
"41"	"ENDOG"	19
"42"	"EPHB2"	19
"43"	"F10"	18
"44"	"PIK3R1"	18
"45"	"PIK3R2"	18
"46"	"PIM1"	18
"47"	"TP73"	18
"48"	"CASP4"	17
"49"	"COX8A"	17
"50"	"GLB1"	17
"51"	"SLC16A1"	17
"52"	"CCND2"	16
"53"	"CRYZ"	16
"54"	"GUSB"	16
"55"	"HPR"	16
"56"	"HSD17B7"	16
"57"	"PRAP1"	16
"58"	"PRDX5"	16
"59"	"RIPK1"	16
"60"	"SEPT4"	16
"61"	"C4A"	15
"62"	"EDN1"	15
"63"	"SLC22A1"	15
"64"	"ABCC3"	14
"65"	"DPP4"	14
"66"	"EDNRB"	14
"67"	"SOCS6"	14
"68"	"TP63"	14
"69"	"FLT3"	13
"70"	"PAK3"	13
"71"	"PLP2"	13
"72"	"RPS6"	13
"73"	"TPO"	13
"74"	"AGT"	12
"75"	"BCAR1"	12
"76"	"BNIP3"	12
"77"	"CAV1"	12
"78"	"EFNA1"	12
"79"	"EPB42"	12
"80"	"ESRRA"	12
"81"	"ESS2"	12
"82"	"HCFC1"	12
"83"	"HSD17B1"	12
"84"	"KLRK1"	12
"85"	"KRT18"	12
"86"	"RECK"	12
"87"	"RPS6KA2"	12
"88"	"SULT1A1"	12
"89"	"SULT1E1"	12
"90"	"TSC1"	12
"91"	"TYMS"	12
"92"	"ABCC5"	11
"93"	"AKR1C3"	11
"94"	"APP"	11
"95"	"ATP2C1"	11
"96"	"AXIN1"	11
"97"	"AXIN2"	11
"98"	"BCL2A1"	11
"99"	"C2"	11
"100"	"CCL22"	11
"101"	"CHRNA4"	11
"102"	"CLK1"	11
"103"	"CSNK2A2"	11
"104"	"DNAJB7"	11
"105"	"HOXC8"	11
"106"	"HTRA2"	11
"107"	"KCNA3"	11
"108"	"LARP6"	11
"109"	"NEK4"	11
"110"	"NEK9"	11
"111"	"NFKBIB"	11
"112"	"TPCN1"	11
"113"	"ABCB6"	10
"114"	"BTG2"	10
"115"	"BUB1"	10
"116"	"CA4"	10
"117"	"CDC25B"	10
"118"	"GPLD1"	10
"119"	"IL31RA"	10
"120"	"KLF4"	10
"121"	"MT4"	10
"122"	"PCSK9"	10
"123"	"PLA2G4A"	10
"124"	"PLG"	10
"125"	"TOP2B"	10
"126"	"TP53I3"	10
"127"	"TSPO"	10
"128"	"VDAC1"	10
"129"	"AKR1C2"	9
"130"	"ANAPC10"	9
"131"	"BMP1"	9
"132"	"BUB1B"	9
"133"	"C3"	9
"134"	"C5"	9
"135"	"C7"	9
"136"	"CALM1"	9
"137"	"CASP10"	9
"138"	"CDC6"	9
"139"	"CYP2C8"	9
"140"	"CYP2D6"	9
"141"	"HK1"	9
"142"	"ID1"	9
"143"	"LY96"	9
"144"	"MAPKAPK2"	9
"145"	"MMRN1"	9
"146"	"NAT1"	9
"147"	"NR4A3"	9
"148"	"ODC1"	9
