"Var1"	"Freq"
"1"	"Curcumin"	148
"2"	"Flavonoids"	129
"3"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	125
"4"	"Genistein"	121
"5"	"Polyphenols"	119
"6"	"epigallocatechin gallate"	109
"7"	"Quercetin"	100
"8"	"Aspirin"	84
"9"	"Isoflavones"	79
"10"	"phenolic acid"	79
"11"	"Catechin"	76
"12"	"Apigenin"	74
"13"	"Chalcones"	74
"14"	"ABT-737"	73
"15"	"Flavones"	72
"16"	"Luteolin"	72
"17"	"Rotenone"	72
"18"	"Phenols"	71
"19"	"alvocidib"	69
"20"	"baicalein"	63
"21"	"Gallic Acid"	60
"22"	"silybin"	59
"23"	"Capsaicin"	58
"24"	"1,1-diphenyl-2-picrylhydrazyl"	57
"25"	"daidzein"	57
"26"	"chrysin"	56
"27"	"Flavonols"	56
"28"	"Kaempferols"	55
"29"	"wogonin"	52
"30"	"naringenin"	51
"31"	"Rutin"	51
"32"	"Anthocyanins"	48
"33"	"myricetin"	47
"34"	"baicalin"	46
"35"	"Hydroquinones"	46
"36"	"fisetin"	45
"37"	"Flavanones"	45
"38"	"Hydrolyzable Tannins"	43
"39"	"methyl gallate"	43
"40"	"Butylated Hydroxyanisole"	42
"41"	"Catechols"	42
"42"	"Masoprocol"	42
"43"	"xanthohumol"	42
"44"	"5-(2,4-dihydroxy-5-isopropylphenyl)-4-(4-morpholin-4-ylmethylphenyl)isoxazole-3-carboxylic acid ethylamide"	41
"45"	"gingerol"	40
"46"	"Proanthocyanidins"	40
"47"	"Butylated Hydroxytoluene"	39
"48"	"epicatechin gallate"	39
"49"	"Propofol"	39
"50"	"isoliquiritigenin"	38
"51"	"4-dimethylamino-3',4'-dimethoxychalcone"	37
"52"	"gallocatechol"	37
"53"	"Phloroglucinol"	37
"54"	"galangin"	36
"55"	"Hesperidin"	36
"56"	"3-methylquercetin"	35
"57"	"Salicylates"	35
"58"	"theaflavin"	35
"59"	"rosmarinic acid"	34
"60"	"bisphenol A"	33
"61"	"nobiletin"	33
"62"	"protocatechuic acid"	33
"63"	"shogaol"	33
"64"	"beta-Naphthoflavone"	32
"65"	"farnesylthiosalicylic acid"	32
"66"	"hesperetin"	32
"67"	"procyanidin"	32
"68"	"Coumestrol"	31
"69"	"naringin"	30
"70"	"Sodium Salicylate"	30
"71"	"butein"	29
"72"	"Fenofibrate"	29
"73"	"licochalcone A"	29
"74"	"Salicylic Acid"	29
"75"	"acacetin"	28
"76"	"acteoside"	28
"77"	"3,4-dihydroxyphenacyl caffeate phenylpropanoid ester"	27
"78"	"7,9,2',4'-tetrahydroxy-8-isopentenyl-5-methoxychalcone"	27
"79"	"bis(4-hydroxycinnamoyl)methane"	27
"80"	"formononetin"	27
"81"	"baohuoside I"	26
"82"	"delphinidin"	26
"83"	"demethoxycurcumin"	26
"84"	"flavone acetic acid"	26
"85"	"heminordihydroguaiaretic acid"	26
"86"	"icariin"	26
"87"	"icaritin"	26
"88"	"alpha-naphthoflavone"	25
"89"	"Anacardic Acids"	25
"90"	"Biflavonoids"	25
"91"	"cardamonin"	25
"92"	"Silymarin"	25
"93"	"taxifolin"	25
"94"	"Cur1 compound"	24
"95"	"dibenzoylmethane"	24
"96"	"tangeretin"	24
"97"	"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one"	23
"98"	"liquiritigenin"	23
"99"	"Phloretin"	23
"100"	"rhodioloside"	23
"101"	"catechin gallate"	22
"102"	"glabridin"	22
"103"	"isoquercitrin"	22
"104"	"protocatechualdehyde"	22
"105"	"Resorcinols"	22
"106"	"2-tert-butylhydroquinone"	21
"107"	"2,4-Dinitrophenol"	21
"108"	"cyanidin"	21
"109"	"theaflavin-3,3'-digallate"	21
"110"	"vitexin"	21
"111"	"2,5-di-tert-butylhydroquinone"	20
"112"	"4-trifluoromethylsalicylic acid"	20
"113"	"8-prenylnaringenin"	20
"114"	"Bezafibrate"	20
"115"	"Clofibrate"	20
"116"	"Dinitrophenols"	20
"117"	"Flavonolignans"	20
"118"	"genistin"	20
"119"	"3-methoxyflavone"	19
"120"	"7,3'-dihydroxy-4'-methoxyisoflavone"	19
"121"	"aromadedrin"	19
"122"	"cyanidin 3-O-glucoside"	19
"123"	"flavokawain B"	19
"124"	"phenoxodiol"	19
"125"	"Pterocarpans"	19
"126"	"Pyrogallol"	19
"127"	"3-hydroxyflavone"	18
"128"	"4-hydroxyestradiol"	18
"129"	"4,6-dinitro-o-cresol"	18
"130"	"5,7,4'-trihydroxyflavone"	18
"131"	"6-O-galloylglucose"	18
"132"	"alpinetin"	18
"133"	"capsazepine"	18
"134"	"chrysoeriol"	18
"135"	"erbstatin"	18
"136"	"eriodictyol"	18
"137"	"hispidulin"	18
"138"	"kaempferol-3-O-rutinoside"	18
"139"	"nitroaspirin"	18
"140"	"pinocembrin"	18
"141"	"pinostrobin"	18
"142"	"quercitrin"	18
"143"	"syringic acid"	18
"144"	"tetrahydrocurcumin"	18
"145"	"Vanillic Acid"	18
"146"	"2'-hydroxyflavanone"	17
"147"	"7-hydroxy-2',3',4',5',8-pentamethoxyisoflavan"	17
"148"	"amentoflavone"	17
"149"	"Equol"	17
"150"	"flavan-3-ol"	17
"151"	"Grape Seed Proanthocyanidins"	17
"152"	"hyperoside"	17
"153"	"jaceosidin"	17
"154"	"nonylphenol"	17
"155"	"Propyl Gallate"	17
"156"	"puerarin"	17
"157"	"tricin"	17
"158"	"wogonoside"	17
"159"	"5-iodo-3-((3,5-dibromo-4-hydroxyphenyl)methylene)-2-indolinone"	16
"160"	"Diosmin"	16
"161"	"Estrogens, Catechol"	16
"162"	"eupatilin"	16
"163"	"gallocatechin gallate"	16
"164"	"Mesalamine"	16
"165"	"oleocanthal"	16
"166"	"Phenolsulfonphthalein"	16
"167"	"polyphenon E"	16
"168"	"punicalagin"	16
"169"	"apigetrin"	15
"170"	"bakuchiol"	15
"171"	"beta-penta-O-galloyl-glucose"	15
"172"	"diosmetin"	15
"173"	"ginkgolic acid"	15
"174"	"Guaiacol"	15
"175"	"Metoclopramide"	15
"176"	"morusin"	15
"177"	"rhamnetin"	15
"178"	"scutellarein"	15
"179"	"5-7-oxo-zeaenol"	14
"180"	"astragalin"	14
"181"	"biochanin A"	14
"182"	"ginkgetin"	14
"183"	"homoorientin"	14
"184"	"luteolin-7-glucoside"	14
"185"	"malvidin"	14
"186"	"morin"	14
"187"	"nitrophenylphosphate"	14
"188"	"tectorigenin"	14
"189"	"Triclosan"	14
"190"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	13
"191"	"2,3-dihydroxybenzoic acid"	13
"192"	"3-(3-chloro-4-hydroxyphenylamino)-4-(4-nitrophenyl)-1H-pyrrole-2,5-dione"	13
"193"	"3(2H)-isoflavene"	13
"194"	"3,3',4',5,6,7,8-heptamethoxyflavone"	13
"195"	"4-nitrophenyl"	13
"196"	"bis-(3-(3',5'-di-tert-butyl-4'-hydroxyphenyl)propyl)sulfide"	13
"197"	"depsidone"	13
"198"	"dihydromyricetin"	13
"199"	"ethyl gallate"	13
"200"	"glycitein"	13
"201"	"Hydroxybenzoates"	13
"202"	"isobavachalcone"	13
"203"	"kaempferol-3-O-glucoside"	13
"204"	"pelargonidin"	13
"205"	"theaflavine gallate"	13
"206"	"trizol"	13
"207"	"Zearalenone"	13
"208"	"2,2'-bisphenol F"	12
"209"	"3'-dimethylaminoflavone"	12
"210"	"4-aminophenol"	12
"211"	"4-hydroxybenzoic acid"	12
"212"	"5,3'-dihydroxy-3,6,7,8,4'-pentamethoxyflavone"	12
"213"	"5,7-dimethoxyflavone"	12
"214"	"alpinumisoflavone"	12
"215"	"ampelopsin"	12
"216"	"ascochlorin"	12
"217"	"B19 monocarbonyl curcumin"	12
"218"	"cirsimaritin"	12
"219"	"dihydrochalcone"	12
"220"	"hinokiflavone"	12
"221"	"NSC 680410"	12
"222"	"pinobanksin"	12
"223"	"polyphenon B"	12
"224"	"scutellarin"	12
"225"	"2,6-di-tert-butyl-4-(aminomethyl)phenol hydrochloride"	11
"226"	"3,6-dimethoxy-6'',6''-dimethylchromeno(2'',3''-7,8)flavone"	11
"227"	"4',7-dihydroxy-3'-methoxy-5'-prenylflavanone"	11
"228"	"4-nitrophenol"	11
"229"	"5-hydroxy-3',4',6,7-tetramethoxyflavone"	11
"230"	"5-hydroxy-3,6,7,8,3',4'-hexamethoxyflavone"	11
"231"	"6-paradol"	11
"232"	"anethole"	11
"233"	"angoletin"	11
"234"	"artocarpin flavonoid"	11
"235"	"atranorin"	11
"236"	"BDMC-A"	11
"237"	"daidzin"	11
"238"	"Diflunisal"	11
"239"	"E 7010"	11
"240"	"eupafolin"	11
"241"	"flavokawain A"	11
